file,segment,norm_area,compactness,eccentricity,extent,solidity,hu0c,hu1c,z00,z01,z10,z11,hog0,hog1,hog2,hog3
im2.jpg,0,0.32421875,0.09593254,0.83464211,0.40597826,0.56419939,0.86029696,0.55252409,0.26041666,0.42708334,0.41666666,0.19270833,0.70710677,0.00000000,0.70710677,0.00000000
im2.jpg,1,0.26432291,0.10758859,0.81643963,0.28168362,0.41372281,0.92652029,0.59882587,0.31423610,0.26736110,0.23958333,0.23611110,0.70710677,0.00000000,0.70710677,0.00000000
im2.jpg,2,0.24652778,0.11029483,0.71269661,0.29399586,0.49050087,0.85954845,0.52142781,0.10590278,0.31770834,0.35937500,0.20312500,0.70710677,0.00000000,0.70710677,0.00000000
im2.jpg,3,0.26388890,0.12937707,0.56515354,0.39480519,0.55677658,0.85407764,0.50633961,0.25000000,0.28993055,0.19618055,0.31944445,0.70710677,0.00000000,0.70710677,0.00000000
im2.jpg,4,0.16536458,0.14354990,0.98023772,0.19720496,0.48783609,0.96904999,0.92333424,0.04513889,0.32118055,0.28125000,0.01388889,0.87963384,0.00000000,0.47565147,0.00000000
im3.jpg,0,0.14366320,0.22138402,0.96539199,0.24627976,0.47832370,0.95739847,0.85929286,0.00000000,0.28645834,0.20833333,0.07986111,0.00000000,0.00000000,0.00000000,0.00000000
im3.jpg,1,0.19053820,0.08891710,0.87892771,0.25114417,0.41376060,0.94702709,0.69903928,0.12847222,0.23090278,0.26562500,0.13715278,0.70710683,0.00000000,0.70710683,0.00000000
im3.jpg,2,0.14626735,0.15264605,0.97609717,0.26746032,0.51687115,0.95351553,0.86068237,0.07118055,0.25868055,0.23958333,0.01562500,0.70710683,0.00000000,0.70710683,0.00000000
im3.jpg,3,0.20572917,0.14987613,0.70264202,0.25986841,0.44674835,0.85754579,0.51946199,0.25173610,0.09201389,0.21875000,0.26041666,0.70710677,0.00000000,0.70710677,0.00000000
im3.jpg,4,0.23914930,0.11234818,0.86354923,0.36635637,0.40484938,0.94686288,0.68038207,0.19097222,0.25173610,0.25520834,0.25868055,0.70710683,0.00000000,0.70710683,0.00000000
im4.jpg,0,0.36588541,0.14027125,0.77166951,0.59787232,0.66377956,0.82762420,0.52387124,0.36111110,0.37847221,0.37326390,0.35069445,0.70710677,0.00000000,0.70710677,0.00000000
im4.jpg,1,0.33159721,0.12289874,0.77907532,0.51902175,0.56011730,0.85892665,0.53468180,0.43055555,0.28298610,0.24479167,0.36805555,0.70710677,0.00000000,0.70710677,0.00000000
im4.jpg,2,0.20442708,0.17265996,0.88619280,0.33192390,0.56542617,0.86664778,0.58103836,0.20833333,0.28993055,0.17187500,0.14756945,0.70710677,0.00000000,0.70710677,0.00000000
im4.jpg,3,0.26258680,0.08419789,0.69800478,0.33611110,0.44649446,0.90003353,0.53010118,0.20486110,0.30902779,0.30381945,0.23263890,0.70710677,0.00000000,0.70710677,0.00000000
im4.jpg,4,0.21701390,0.15497212,0.79650337,0.36337209,0.57803470,0.83473253,0.53072858,0.15277778,0.37847221,0.22569445,0.11111111,0.70710677,0.00000000,0.70710677,0.00000000
im5.jpg,0,0.36067709,0.13900994,0.74714661,0.45335516,0.64770073,0.80905586,0.51654762,0.23958333,0.39583334,0.46354166,0.34375000,0.70710677,0.00000000,0.70710677,0.00000000
im5.jpg,1,0.25347221,0.28322384,0.95310450,0.62127662,0.71306473,0.85916591,0.62087399,0.18402778,0.32291666,0.30555555,0.20138890,0.77983999,0.00000000,0.62597883,0.00000000
im5.jpg,2,0.26866320,0.09081277,0.89573580,0.37629178,0.54730326,0.88788277,0.60829508,0.18923610,0.39930555,0.35416666,0.13194445,0.70710677,0.00000000,0.70710677,0.00000000
im5.jpg,3,0.34114584,0.09281045,0.73079020,0.47781155,0.51138580,0.87407565,0.52861428,0.32465279,0.34027779,0.34201390,0.35763890,0.77386022,0.00000000,0.63335645,0.00000000
im5.jpg,4,0.21744792,0.15710495,0.84117389,0.37954545,0.54103673,0.84695470,0.54802030,0.18923610,0.34375000,0.22569445,0.11111111,0.70710677,0.00000000,0.70710677,0.00000000
im6.jpg,0,0.34505209,0.09149460,0.72847313,0.40396342,0.50766283,0.86846447,0.52647918,0.33854166,0.36458334,0.35937500,0.31770834,0.70710677,0.00000000,0.70710677,0.00000000
im6.jpg,1,0.16536458,0.08823533,0.93038893,0.18405797,0.35343227,0.97233450,0.87444329,0.12500000,0.22916667,0.20312500,0.10416666,0.70710677,0.00000000,0.70710677,0.00000000
im6.jpg,2,0.27734375,0.12001120,0.81038982,0.36979166,0.43204868,0.90632051,0.57339299,0.20312500,0.32812500,0.35937500,0.21875000,0.70710677,0.00000000,0.70710677,0.00000000
im6.jpg,3,0.26996529,0.09373011,0.79680657,0.41356382,0.51876563,0.88037688,0.54954821,0.30555555,0.24131945,0.25000000,0.28298610,0.78211063,0.00000000,0.62313962,0.00000000
im6.jpg,4,0.18489583,0.09127028,0.81329912,0.36410257,0.46710527,0.91014916,0.57846427,0.18055555,0.23090278,0.14756945,0.18055555,0.70710677,0.00000000,0.70710677,0.00000000
im7.jpg,0,0.29947916,0.10049222,0.68164802,0.42279410,0.52233160,0.85687983,0.51649433,0.30208334,0.26388890,0.34027779,0.29166666,0.70710677,0.00000000,0.70710677,0.00000000
im7.jpg,1,0.42144096,0.13255821,0.81328148,0.45910165,0.66873276,0.81254774,0.52779460,0.23090278,0.49652779,0.65625000,0.30208334,0.70710677,0.00000000,0.70710677,0.00000000
